TJP3,TCF19,BDH1,SETBP1
TEAD1,TNNI1,ZNF341,COA1
C16orf52,PAX7,SNHG17,CMYA5
SMURF2,TCTE3,CXCL14,TARBP1
SLCO4C1,ZCCHC2,PLOD1,CLDN15
GAPDHP14,C8orf48,SPCS3,Blank-0740
PHGDH,PNKD,SEMA3C,CYYR1
CCDC64,LIMCH1,CORO2A,UBE2QL1
PRTG,CHRNA9,GALNT7,CCR10
SLC1A4,BATF3,OSBPL6,MYBL1
SDC3,CPEB2,Blank-1909,PLD5
P2RY1,Blank-0554,CGN,EPHA3
MDM2,SDF4,GRM2,SOX9
SHANK2,HS6ST2,CDS1,Blank-0028
THY1,PLAU,GPR157,TOMM20
NEK10,SORT1,TSPAN17,ITGA5
SESTD1,C18orf32,UCK2,SNAI1
TRIL,RDH10,HMGB1,PRLHR
SPRED3,KDELC2,RPL39,Blank-2096
UGT1A7,MTBP,FZD4,H2AFJ
C5AR1,C5orf56,S100A1,ALCAM
CLIP3,GAP43,Blank-1470,SOX7
APBB2,GRAMD1B,Blank-0509,SEL1L
GPRASP2,PKM,HOXB5,DLGAP1
TRPS1,MESDC1,ARID3B,HIVEP1
ABHD15,NES,ZNF778,RBP1
GFOD1,TRPC3,KRT18P41,TBC1D31
PCDHB5,FBXO5,SLC7A1,DNAJB11
SLC22A15,GSTM3,SSTR2,COA7
NSUN6,NANOS1,ASPM,APH1B
MANBA,KCNIP1,ALOXE3,SKIL
PIEZO2,SLC7A6,ANKRD30A,FAM151B
SLC19A2,CASP10,SERPINE2,KAZN
BSDC1,DGKH,OTUD7A,IL15
ZNF655,TNRC6B,FAM107B,HOXB3
ATP6V0A4,TMEM30A,TMEM120B,BHLHE40
ITGA3,SIRPA,RPS29,NBPF1
